x1,x2,x3,x4,y
0.725391742,0.276672719,0.837139504,0.160575926,0.291293738
0.411649257,0.038127531,0.340494921,0.456883039,0.067126124
0.3984031,0.676762565,0.531067864,0.546374312,0.206883864
0.382686585,0.105713485,0.763387583,0.902986313,0.269663972
0.692082645,0.91904213,0.317841,0.467548001,0.402882925
0.771727456,0.200438828,0.228343622,0.629117916,0.188342357
0.088253593,0.485823165,0.840653172,0.287482311,0.045246204
0.771262679,0.851071657,0.87653636,0.930819422,0.909728914
0.111083476,0.318487997,0.189144445,0.450434847,0.018889844
0.367078237,0.655588926,0.557475676,0.84312111,0.266394031
0.25800863,0.769162604,0.293763046,0.303918715,0.099368724
0.529315576,0.006978368,0.609061619,0.970253762,0.347336117
0.945649088,0.792112312,0.633943811,0.508107753,0.608761675
0.460101425,0.066207054,0.593205147,0.950980057,0.290010852
0.807872691,0.486367296,0.801575505,0.838177261,0.638872816
0.182567243,0.160163521,0.186023784,0.52017317,0.03020003
0.786666926,0.939043376,0.804891431,0.181846907,0.614670452
0.28477041,0.432202651,0.572828736,0.91281828,0.191959334
0.218609367,0.578680449,0.206352341,0.300317776,0.051115583
0.719849865,0.522275642,0.339997953,0.560418973,0.252825626
0.13694188,0.594646619,0.395567256,0.612808821,0.060638734
0.188244701,0.814743487,0.059699609,0.172880965,0.065627639
0.611690769,0.033015347,0.61941706,0.798704827,0.312787129
0.239985505,0.652524155,0.488813137,0.924647876,0.182352956
0.18808238,0.939750354,0.612119113,0.954354177,0.203938893
0.972489806,0.206961704,0.808787673,0.371440261,0.405984597
0.243815523,0.895237656,0.665310246,0.255064823,0.159595088
0.184392268,0.358762682,0.196093818,0.730706553,0.064638296
0.053977184,0.615465741,0.11784159,0.677604658,0.022989768
0.862400111,0.215361698,0.534451297,0.125975942,0.150009664
0.009470695,0.117556335,0.206343852,0.112652672,0.000327155
0.39759051,0.711943272,0.505624354,0.726015817,0.256369974
0.585641125,0.617040132,0.953237803,0.617163011,0.489095555
0.301268656,0.041381656,0.166782623,0.15183757,0.007920885
0.849330618,0.154891909,0.924500666,0.597365055,0.524690124
0.029029638,0.271957675,0.509698338,0.759512725,0.013217382
0.490680127,0.540668097,0.5281995,0.541979537,0.212233513
0.393212776,0.928611222,0.13730446,0.855990656,0.317301343
0.409796314,0.698970103,0.689529224,0.074070193,0.198647974
0.76069215,0.906584562,0.172338143,0.21281117,0.341126536
0.019789417,0.547887234,0.924222051,0.16917806,0.011705322
0.799745859,0.105536736,0.33320234,0.861674127,0.34574777
0.149204304,0.497091924,0.222768121,0.096485211,0.0228309
0.390696854,0.810281699,0.107191202,0.588649272,0.198191597
0.945351013,0.66197976,0.795734297,0.440000907,0.597939749
0.82326289,0.554351493,0.716761769,0.610894172,0.491588672
0.546859927,0.329641494,0.737632805,0.993905657,0.448593061
0.890883942,0.891789659,0.423667864,0.40364024,0.506783205
0.843057183,0.751667586,0.774168281,0.641891259,0.66448295
0.122040558,0.287693363,0.628959081,0.823452929,0.070565786
0.077680802,0.740694452,0.24480387,0.928733191,0.057138213
0.553809512,0.320634942,0.511410256,0.91990689,0.335214225
0.683830312,0.945211171,0.855804044,0.657729975,0.703809591
0.064416732,0.816844757,0.220484217,0.17511312,0.024043972
0.374398088,0.585997639,0.275486327,0.745161937,0.182435252
0.441496131,0.28879581,0.561033908,0.393813531,0.122129124
0.343351409,0.841100909,0.99082403,0.910930439,0.432447196
0.883137297,0.195591025,0.977842868,0.079369546,0.441891898
0.482924848,0.485903713,0.114140221,0.749440337,0.195775615
0.962793617,0.705202878,0.806551721,0.799918718,0.860596316
0.114609618,0.301878161,0.597780964,0.479079841,0.038852087
0.297712531,0.393499105,0.600031359,0.702317984,0.150066426
0.451615131,0.736183315,0.27139494,0.328295254,0.163348936
0.811251731,0.150435894,0.682547577,0.015472117,0.19824621
0.773778056,0.590110863,0.554085638,0.956528009,0.607488337
0.071468813,0.700765473,0.669225447,0.231804749,0.035472416
0.723538234,0.230774666,0.181381347,0.611232882,0.166327612
0.581180484,0.073453841,0.36436419,0.071999635,0.041653402
0.91187564,0.713439443,0.00802187,0.10829636,0.237447078
0.053713993,0.327642611,0.3615363,0.696528437,0.019423249
0.186572525,0.65746093,0.554492639,0.758092636,0.12261746
0.348105862,0.293483521,0.68239699,0.42535971,0.12753365
0.874727274,0.489336393,0.315255397,0.197885566,0.165321166
0.583792393,0.643307727,0.122970931,0.848857166,0.335542025
0.416368333,0.979722959,0.166697615,0.653556865,0.294535159
0.688780513,0.914759592,0.664298675,0.649171276,0.58529165
0.305651866,0.623804594,0.621685588,0.442493476,0.148459027
0.913677732,0.749001246,0.750975167,0.435179024,0.600444953
0.463889217,0.413743307,0.750481324,0.375060719,0.202969226
0.542380661,0.331817376,0.316082905,0.130380648,0.061562995
0.61983482,0.232200433,0.349490335,0.850390372,0.278685273
0.797976902,0.981317422,0.78693696,0.199699835,0.647212607
0.047580948,0.343124752,0.36748973,0.127830082,0.006402583
0.96745773,0.369016575,0.258040069,0.863896335,0.45909487
0.093829154,0.539574871,0.629712735,0.281156169,0.035970718
0.617146435,0.894203101,0.032918342,0.884021608,0.488217449
0.76237094,0.042901591,0.251465883,0.015874401,0.024901945
0.604762901,0.662099585,0.681167394,0.14046539,0.278824546
0.594731071,0.180728323,0.369687837,0.939834567,0.313013159
0.709030427,0.19984521,0.129371346,0.698643629,0.19313208
0.011759563,0.027040164,0.23773762,0.145096041,0.000460406
0.059737378,0.8640574,0.536500681,0.072188999,0.031052666
0.465267975,0.015798774,0.188756155,0.92748748,0.208465995
0.484021321,0.686120966,0.168816141,0.444395356,0.168620468
0.671406812,0.620847353,0.440078035,0.359376991,0.237769301
0.823808884,0.245355906,0.840286198,0.044541449,0.316451501
0.893649644,0.567688186,0.692066106,0.362613773,0.416759821
0.924429958,0.306685375,0.856575017,0.311336389,0.427413439
0.044247944,0.518793798,0.493615701,0.790988533,0.025187397
0.482964512,0.751081479,0.895821218,0.536121589,0.399422615
0.849166082,0.490629432,0.640617408,0.708830912,0.489777413
0.574412894,0.525802874,0.522690586,0.322667475,0.187772246
0.778966631,0.119750522,0.704867596,0.429057561,0.270795639
0.367058983,0.809168464,0.147254803,0.842347464,0.254369458
0.853641344,0.606964428,0.833383549,0.20393817,0.471433989
0.008287271,0.74486548,0.811774265,0.526756983,0.0061793
0.534225883,0.752744692,0.533896222,0.200751419,0.238256965
0.553230469,0.040824098,0.464910838,0.813421554,0.243272952
0.152785592,0.965836167,0.348756921,0.009466077,0.080560825
0.103235762,0.927799596,0.859342614,0.390189814,0.090410263
0.538677104,0.007636373,0.52537228,0.402840753,0.118065906
0.763456013,0.741516219,0.082079071,0.516424193,0.314267973
0.297288332,0.50697099,0.756462588,0.112873944,0.125157757
0.41844279,0.398004769,0.326306289,0.524228328,0.112916563
0.464588544,0.91705152,0.231408407,0.692463638,0.319181442
0.987163997,0.193532703,0.586836324,0.264747098,0.223060961
0.826913979,0.399288837,0.039061462,0.834009508,0.354137998
0.46875416,0.921873024,0.844230665,0.44325746,0.41228158
0.75688819,0.671533915,0.991310121,0.729094676,0.743730673
0.57351888,0.607950176,0.205619635,0.65267932,0.240268034
0.717769282,0.273861728,0.610342193,0.397779071,0.217392946
0.934116373,0.435144437,0.984538368,0.745043941,0.800424214
0.793686469,0.539145026,0.914136367,0.398486302,0.509988792
0.917857449,0.756034345,0.850350844,0.922414666,0.984646863
0.427317372,0.910442998,0.769719114,0.666940164,0.39872624
0.770204683,0.857474723,0.406880877,0.72439945,0.548990157
0.993336554,0.967253899,0.544767374,0.369627834,0.679927117
0.552064374,0.413727188,0.879158566,0.549660262,0.343995831
0.471617247,0.012578798,0.496529833,0.910425108,0.253629619
0.180852568,0.458518607,0.758008865,0.412107367,0.086325383
0.251933841,0.440176597,0.524215646,0.962347932,0.175682413
0.284284587,0.228358071,0.491565399,0.010049045,0.041773478
0.751278191,0.170247735,0.352767927,0.850734253,0.329502452
0.499933494,0.274932237,0.406568138,0.863714625,0.246689268
0.307399993,0.717345916,0.59629834,0.218794259,0.14110087
0.765952296,0.318149533,0.851090992,0.956536488,0.666584177
0.529498293,0.992269246,0.024550014,0.922434418,0.486102258
0.460351526,0.786334792,0.491353955,0.368834759,0.229206767
0.366353221,0.392314531,0.154667383,0.565076292,0.091065136
0.646511292,0.212458581,0.95088522,0.066861213,0.308318576
0.649274686,0.773647976,0.465501046,0.371817476,0.309532179
0.092187891,0.039427276,0.646649836,0.286676521,0.023134272
0.707160447,0.387494793,0.575529365,0.108362188,0.174360531
0.782778207,0.376678688,0.33987883,0.111590875,0.10561908
0.390288759,0.05911556,0.576998176,0.352319815,0.089873899
0.011099923,0.591615773,0.462299011,0.262313413,0.003510561
0.820112784,0.434122506,0.780307416,0.117815141,0.332646939
0.241705601,0.937030373,0.785567198,0.887047039,0.275785389
0.470122309,0.088702417,0.697483342,0.098386185,0.118478102
0.247840132,0.893813111,0.787393609,0.720021537,0.240073019
0.871564481,0.911604072,0.76923654,0.310483658,0.662017257
0.716303128,0.995231044,0.879235549,0.780248938,0.849653122
0.99060772,0.302762325,0.386411498,0.340866037,0.17690695
0.641084698,0.076235223,0.862385736,0.511249808,0.324035406
0.390142398,0.789792003,0.565599766,0.291879231,0.200702512
0.951621026,0.613614263,0.908041894,0.852935699,0.917630004
0.187467512,0.956328109,0.389424752,0.15948351,0.102324462
