X1,X2,X3,Y
1.248232299,1.095106196,3.282023444,1.324116555
1.283120945,1.86248457,7.251289058,1.327661862
4.124485629,1.599059357,8.224945302,4.204714915
3.035952431,1.013575489,7.330556086,3.065395673
1.648450887,1.052158187,5.914525044,1.675170415
3.836147541,1.130453308,7.202371044,3.884290834
4.046006036,1.401438207,4.018632756,4.317022938
4.249206606,1.660035259,5.978842606,4.423115394
1.821958497,1.34487396,7.482861641,1.852117478
2.34947222,1.379285705,4.945975158,2.446529043
2.727252072,1.180339438,8.924684987,2.751421528
4.780003383,1.392339331,6.352281225,4.899136658
4.159690213,1.197671487,6.876090666,4.224262353
4.543932412,1.008065166,9.501502531,4.56972411
3.629419335,1.159315449,4.023883938,3.790129345
1.901191013,1.103920174,4.215270515,1.969944386
2.053502971,1.92836005,5.862846819,2.174490279
4.244550859,1.954257615,4.599511695,4.688826874
3.269955806,1.606155211,6.952626076,3.360865941
2.517036683,1.780597813,3.83984211,2.840951509
4.688600678,1.611317985,3.493261131,5.284343961
3.589526104,1.935026136,7.594682444,3.712033578
3.404102426,1.179501287,4.05784317,3.557714711
1.793963352,1.302173984,7.84497196,1.819199814
4.173635143,1.548083411,8.156329552,4.250906037
2.504441058,1.114160583,8.012727108,2.529009063
3.798592961,1.904066394,9.627382974,3.875137711
1.706139538,1.913319403,8.031801008,1.756712272
3.563617738,1.703721407,5.033311639,3.78717348
4.061911533,1.892025091,7.882760763,4.184225692
4.6064926,1.551573783,3.758866746,5.057455192
3.247568916,1.743075388,7.74395748,3.333101862
2.218955865,1.169155841,7.752922861,2.244625411
3.337573292,1.424039782,5.524007486,3.454327181
2.756623073,1.028323921,7.142847152,2.78564194
1.402631944,1.061585032,4.345103808,1.446466706
1.182375322,1.641200198,8.595463382,1.204536251
3.960759218,1.332704082,9.140855098,4.003538585
3.19919965,1.792606138,4.521789069,3.484732454
1.580469423,1.356024697,3.2819125,1.735542179
1.371093932,1.456677744,5.824440902,1.416096527
2.462086864,1.4028653,4.860224658,2.571539084
2.35390874,1.409638008,7.259379265,2.399583381
3.930379691,1.698889081,7.828361064,4.026336231
1.387277935,1.65577948,4.035974745,1.521186827
2.039730504,1.861654843,5.653288505,2.160219588
1.592754617,1.826921436,6.826307596,1.653054931
4.52256586,1.483130247,7.70284172,4.60880355
2.172105603,1.801372849,3.820200477,2.463136788
4.43772742,1.719191,3.321256381,5.186666979
3.089482607,1.152208996,8.325418739,3.119501888
4.494716187,1.259265992,6.562396375,4.579826732
3.288176877,1.634804335,5.21740853,3.462543012
3.75929116,1.866902126,4.130817121,4.214235561
1.060767716,1.78597407,8.662225653,1.084059638
1.866756029,1.632182529,7.074697348,1.918511213
4.755771745,1.529581114,4.475648727,5.060469642
1.959860897,1.728901256,9.260126336,1.99493943
2.602178042,1.605793151,8.407676441,2.650977968
3.303591443,1.333078071,7.398940406,3.358553447
1.897069578,1.26731133,6.246274224,1.937364081
4.34581859,1.098574582,8.06079378,4.386749095
4.866661393,1.794110608,5.769840023,5.120497401
1.126505571,1.020132637,9.923790793,1.132505142
4.849607595,1.179724326,9.860332819,4.884694733
4.187971644,1.040742001,9.337837425,4.214228132
4.423281656,1.769141987,8.102950064,4.532634592
2.999226704,1.700324711,8.60795667,3.059508322
2.795769065,1.23028397,7.340515235,2.8358833
3.038815317,1.881734812,5.856706684,3.208957752
3.281996895,1.394636503,3.604989086,3.559119756
1.778097172,1.763874648,6.21143587,1.854439754
4.177396409,1.549858356,9.782815173,4.230828585
4.138491716,1.139902699,7.712364868,4.184449627
2.859891597,1.258202084,6.795593318,2.910208143
3.513890635,1.8739608,9.662653601,3.581897676
4.543929432,1.174827796,9.981384216,4.575735488
2.302750242,1.582581809,6.878193539,2.366236117
2.611841064,1.087128843,6.262947418,2.652101042
1.455123975,1.577810202,4.763552017,1.54217742
4.371983757,1.99577957,3.024298493,5.818912335
3.23645959,1.708482961,3.034249643,3.91627904
3.266639303,1.567149506,6.517338619,3.365381554
2.540424811,1.972850795,4.462030791,2.832307991
2.751175695,1.295800315,4.454905372,2.875505512
3.704526119,1.746223945,9.883718938,3.76373372
3.317372727,1.83165975,6.802050195,3.44461051
4.509443733,1.057525709,3.922845177,4.682812537
1.109777342,1.292302983,7.994933478,1.12456566
1.937121833,1.99572425,6.665709941,2.030255368
1.0451289,1.150633025,8.766331789,1.054249724
2.664557565,1.9521229,4.469039843,2.962088656
4.334866109,1.294146503,9.587110387,4.37490873
2.72938691,1.503338551,9.262081736,2.766065949
